iter	Passed	Remaining
402	12274	18183
403	12305	18153
404	12335	18123
405	12364	18090
406	12395	18059
407	12427	18031
408	12458	18001
409	12468	17941
410	12492	17903
411	12521	17870
412	12584	17886
413	12614	17855
414	12658	17843
415	12687	17811
416	12719	17782
417	12767	17777
418	12777	17717
419	12811	17691
420	12837	17655
421	12869	17626
422	12893	17587
423	12917	17548
424	12943	17512
425	12973	17480
426	12998	17443
427	13021	17402
428	13050	17370
429	13081	17340
430	13117	17317
431	13144	17281
432	13175	17252
433	13205	17222
434	13232	17187
435	13258	17151
436	13291	17123
437	13317	17088
438	13344	17052
439	13372	17019
440	13399	16984
441	13425	16948
442	13453	16915
443	13503	16910
444	13547	16896
445	13587	16878
446	13615	16843
447	13640	16807
448	13667	16771
449	13697	16741
450	13727	16710
451	13758	16680
452	13785	16646
453	13813	16612
454	13843	16582
455	13872	16549
456	13901	16517
457	13934	16490
458	13964	16459
459	14004	16440
460	14034	16408
461	14063	16377
462	14094	16347
463	14127	16319
464	14158	16290
465	14205	16278
466	14247	16260
467	14265	16216
468	14294	16184
469	14340	16170
470	14357	16125
471	14362	16066
472	14392	16035
473	14417	15999
474	14443	15964
475	14460	15918
476	14489	15886
477	14520	15857
478	14558	15835
479	14595	15811
480	14627	15783
481	14635	15728
482	14668	15701
483	14699	15671
484	14728	15639
485	14759	15609
486	14790	15579
487	14822	15551
488	14853	15522
489	14893	15501
490	14923	15470
491	14955	15442
492	14989	15414
493	15017	15382
494	15052	15356
495	15099	15342
496	15126	15309
497	15152	15274
498	15175	15236
499	15203	15203
500	15230	15169
501	15264	15142
502	15310	15127
503	15339	15096
504	15372	15067
505	15403	15037
506	15448	15022
507	15477	14990
508	15507	14958
509	15535	14925
510	15570	14900
511	15594	14863
512	15624	14832
513	15637	14785
514	15667	14754
515	15691	14718
516	15717	14684
517	15738	14644
518	15770	14615
519	15800	14585
520	15827	14551
521	15851	14515
522	15875	14479
523	15905	14448
524	15942	14424
525	15988	14407
526	16019	14377
527	16053	14350
528	16088	14324
529	16126	14301
530	16160	14274
531	16195	14246
532	16225	14216
533	16272	14200
534	16306	14173
535	16346	14150
536	16380	14123
537	16426	14106
538	16461	14079
539	16497	14053
540	16532	14026
541	16567	13999
542	16608	13978
543	16632	13941
544	16668	13915
545	16704	13889
546	16741	13864
547	16765	13828
548	16776	13781
549	16810	13753
550	16852	13733
551	16876	13696
552	16920	13676
553	16947	13643
554	16979	13614
555	17012	13585
556	17058	13567
557	17090	13537
558	17115	13502
559	17145	13471
560	17178	13442
561	17216	13418
562	17244	13385
563	17267	13348
564	17306	13324
565	17343	13298
566	17374	13268
567	17389	13225
568	17399	13179
569	17427	13146
570	17443	13105
571	17475	13076
572	17505	13044
573	17544	13020
574	17578	12992
575	17614	12966
576	17638	12931
577	17646	12883
578	17674	12851
579	17706	12821
580	17738	12792
581	17770	12762
582	17792	12726
583	17815	12690
584	17865	12673
585	17903	12648
586	17931	12616
587	17971	12592
588	18005	12564
589	18032	12531
590	18049	12490
591	18086	12464
592	18111	12430
593	18150	12405
594	18179	12374
595	18221	12351
596	18259	12325
597	18295	12298
598	18326	12268
599	18343	12228
600	18372	12197
601	18397	12163
602	18436	12137
603	18471	12110
604	18510	12085
605	18542	12055
606	18567	12021
607	18599	11991
608	18627	11959
609	18686	11947
610	18720	11918
611	18748	11886
612	18776	11853
613	18805	11822
614	18835	11791
615	18861	11757
616	18894	11728
617	18911	11689
618	18946	11661
619	18992	11640
620	19036	11617
621	19066	11586
622	19111	11564
623	19146	11536
624	19167	11500
625	19194	11467
626	19226	11437
627	19273	11416
628	19309	11389
629	19339	11358
630	19369	11327
631	19422	11309
632	19475	11291
633	19508	11262
634	19543	11233
635	19563	11196
636	19586	11161
637	19618	11131
638	19651	11102
639	19686	11073
640	19720	11044
641	19756	11016
642	19801	10993
643	19814	10953
644	19847	10923
645	19875	10891
646	19905	10860
647	19934	10828
648	19963	10796
649	19995	10767
650	20028	10737
651	20058	10705
652	20083	10672
653	20108	10638
654	20132	10604
655	20155	10569
656	20166	10528
657	20187	10492
658	20214	10459
659	20261	10437
660	20291	10406
661	20317	10373
662	20351	10344
663	20363	10304
664	20393	10273
665	20435	10248
666	20470	10219
667	20509	10193
668	20544	10164
669	20571	10132
670	20608	10104
671	20645	10076
672	20663	10040
673	20696	10010
674	20731	9981
675	20762	9951
676	20789	9918
677	20816	9886
678	20849	9856
679	20883	9827
680	20912	9795
681	20938	9763
682	20971	9733
683	20997	9700
684	21024	9668
685	21034	9628
686	21060	9595
687	21074	9556
688	21110	9529
689	21134	9495
690	21164	9464
691	21199	9435
692	21228	9404
693	21266	9376
694	21302	9348
695	21335	9318
696	21374	9292
697	21410	9263
698	21437	9231
699	21460	9197
700	21487	9165
701	21521	9135
702	21553	9105
703	21586	9076
704	21611	9043
705	21644	9013
706	21683	8986
707	21710	8954
708	21735	8921
709	21774	8893
710	21807	8864
711	21829	8829
712	21857	8798
713	21917	8779
714	21953	8750
715	21986	8721
716	22024	8693
717	22062	8665
718	22092	8634
719	22126	8604
720	22158	8574
721	22190	8544
722	22218	8512
723	22249	8481
724	22283	8452
725	22315	8421
726	22350	8392
727	22388	8365
728	22441	8342
729	22452	8304
730	22484	8273
731	22502	8238
732	22531	8207
733	22558	8175
734	22568	8136
735	22596	8105
736	22629	8075
737	22673	8049
738	22704	8018
739	22737	7989
740	22760	7955
741	22784	7922
742	22821	7893
743	22854	7863
744	22877	7830
745	22910	7800
746	22944	7770
747	22971	7739
748	22984	7702
749	23016	7672
750	23051	7643
751	23084	7613
752	23111	7581
753	23143	7550
754	23172	7519
755	23213	7492
756	23248	7462
757	23291	7435
758	23320	7404
759	23353	7374
760	23382	7343
761	23428	7317
762	23463	7288
763	23496	7258
764	23538	7230
765	23572	7200
766	23606	7171
767	23647	7143
768	23682	7113
769	23722	7085
770	23753	7055
771	23790	7026
772	23830	6997
773	23862	6967
774	23894	6937
775	23931	6908
776	23962	6877
777	23989	6845
778	24016	6813
779	24062	6786
780	24100	6758
781	24132	6727
782	24156	6694
783	24187	6664
784	24233	6637
785	24270	6607
786	24304	6577
787	24342	6549
788	24376	6518
789	24420	6491
790	24454	6461
791	24465	6425
792	24499	6395
793	24539	6366
794	24570	6335
795	24578	6299
796	24592	6263
797	24605	6228
798	24632	6196
799	24660	6165
800	24690	6133
801	24699	6097
802	24727	6066
803	24756	6035
804	24775	6001
805	24808	5971
806	24851	5943
807	24885	5913
808	24902	5879
809	24937	5849
810	24960	5816
811	24985	5784
812	25008	5752
813	25033	5720
814	25059	5688
815	25084	5656
816	25116	5625
817	25149	5595
818	25180	5564
819	25205	5532
820	25252	5505
821	25284	5475
822	25316	5444
823	25333	5410
824	25374	5382
825	25386	5347
826	25417	5316
827	25445	5285
828	25473	5254
829	25497	5222
830	25523	5190
831	25531	5155
832	25548	5121
833	25573	5090
834	25609	5060
835	25642	5030
836	25675	5000
837	25704	4969
838	25739	4939
839	25773	4909
840	25808	4879
841	25843	4849
842	25875	4818
843	25901	4787
844	25930	4756
845	25963	4726
846	25993	4695
847	26019	4663
848	26044	4632
849	26076	4601
850	26106	4570
851	26138	4540
852	26164	4509
853	26196	4478
854	26220	4446
855	26228	4412
856	26258	4381
857	26307	4353
858	26321	4320
859	26349	4289
860	26378	4258
861	26404	4227
862	26414	4193
863	26440	4161
864	26476	4132
865	26505	4101
866	26550	4072
867	26582	4042
868	26621	4013
869	26663	3984
870	26698	3954
871	26732	3924
872	26761	3893
873	26790	3862
874	26819	3831
875	26853	3801
876	26892	3771
877	26920	3740
878	26946	3709
879	26986	3680
880	27017	3649
881	27048	3618
882	27073	3587
883	27102	3556
884	27130	3525
885	27155	3494
886	27184	3463
887	27211	3432
888	27264	3404
889	27293	3373
890	27319	3342
891	27349	3311
892	27375	3280
893	27401	3249
894	27427	3217
895	27452	3186
896	27481	3155
897	27515	3125
898	27541	3094
899	27567	3063
900	27591	3031
901	27624	3001
902	27655	2970
903	27690	2940
904	27724	2910
905	27768	2881
906	27797	2850
907	27824	2819
908	27851	2788
909	27881	2757
910	27910	2726
911	27954	2697
912	27984	2666
913	28014	2635
914	28043	2605
915	28076	2574
916	28109	2544
917	28141	2513
918	28170	2482
919	28183	2450
920	28209	2419
921	28236	2388
922	28263	2357
923	28294	2327
924	28325	2296
925	28353	2265
926	28387	2235
927	28418	2204
928	28447	2174
929	28473	2143
930	28499	2112
931	28542	2082
932	28586	2052
933	28615	2022
934	28643	1991
935	28674	1960
936	28699	1929
937	28729	1898
938	28758	1868
939	28798	1838
940	28824	1807
941	28860	1776
942	28885	1745
943	28912	1715
944	28939	1684
945	28971	1653
946	28999	1622
947	29046	1593
948	29077	1562
949	29107	1531
950	29138	1501
951	29169	1470
952	29197	1439
953	29225	1409
954	29252	1378
955	29280	1347
956	29323	1317
957	29355	1286
958	29381	1256
959	29413	1225
960	29443	1194
961	29471	1164
962	29506	1133
963	29534	1102
964	29561	1072
965	29588	1041
966	29624	1010
967	29664	980
