iter	Logloss
329	0.3522635466
330	0.3521229362
331	0.3521084282
332	0.3519208669
333	0.3516731481
334	0.3515363188
335	0.3509772418
336	0.3508497738
337	0.3507084418
338	0.3507060562
339	0.3505869084
340	0.3504111676
341	0.3500387452
342	0.3497350877
343	0.3496185283
344	0.3494387011
345	0.3491911826
346	0.349061328
347	0.3490573071
348	0.3488511091
349	0.3486991572
350	0.3485989409
351	0.3485768918
352	0.3482080673
353	0.348128993
354	0.3480128886
355	0.3475936453
356	0.3473578004
357	0.3473153491
358	0.3471028468
359	0.3468089486
360	0.3467562254
361	0.3467366901
362	0.3464215736
363	0.3461888654
364	0.3461008067
365	0.3460539328
366	0.3457098534
367	0.3456491116
368	0.3455224083
369	0.345255059
370	0.3450758804
371	0.344869148
372	0.3446887235
373	0.3444705606
374	0.3442190954
375	0.3441067587
376	0.344100118
377	0.3439851891
378	0.3439021502
379	0.3438165083
380	0.3436130574
381	0.343473104
382	0.3432062402
383	0.3432042849
384	0.3430121924
385	0.3430050218
386	0.3426727839
387	0.3426166372
388	0.3424821817
389	0.3423611884
390	0.342351731
391	0.3422175893
392	0.3420713112
393	0.3420151416
394	0.3418728937
395	0.3417899376
396	0.3416832255
397	0.3415054076
398	0.3415035605
399	0.3415033981
400	0.3413965848
401	0.3411559156
402	0.3410877624
403	0.3409050225
404	0.3405846997
405	0.3403670846
406	0.3402297072
407	0.3401570161
408	0.3399607995
409	0.3399589814
410	0.3399229331
411	0.3397561712
412	0.3396414437
413	0.3394762601
414	0.3394375584
415	0.3391647107
416	0.3390174449
417	0.3387792282
418	0.3387775499
419	0.3385716798
420	0.3383724082
421	0.3381202105
422	0.3380832913
423	0.3380748321
424	0.337976088
425	0.3378548225
426	0.3377579378
427	0.3377578921
428	0.3376405268
429	0.337445715
430	0.3372575288
431	0.3370714562
432	0.3368314475
433	0.3367081223
434	0.336490283
435	0.3362837343
436	0.3361610442
437	0.3360352485
438	0.3358545157
439	0.3355567663
440	0.3353712183
441	0.3352080141
442	0.3350993923
443	0.3349337646
444	0.3347725958
445	0.3346439125
446	0.3344808205
447	0.3342817068
448	0.334130278
449	0.333961223
450	0.3337967621
451	0.3336113681
452	0.3333567314
453	0.3330745978
454	0.3328120924
455	0.3324207093
456	0.3322884478
457	0.33214058
458	0.3320893473
459	0.3318701799
460	0.331648018
461	0.3314092827
462	0.3312378378
463	0.331168074
464	0.3307428398
465	0.3306742157
466	0.3304853424
467	0.330451592
468	0.3302296609
469	0.329937626
470	0.3299245648
471	0.3299245567
472	0.3297787859
473	0.3296004334
474	0.3294982114
475	0.3294959664
476	0.3293126376
477	0.3292609741
478	0.3291430571
479	0.3289486689
480	0.3286555603
481	0.3286555577
482	0.3283656268
483	0.3282777521
484	0.3281579423
485	0.3280178171
486	0.3277848732
487	0.3274524345
488	0.3273253326
489	0.3272579971
490	0.3270475621
491	0.326846561
492	0.3267008001
493	0.3265925999
494	0.3264597478
495	0.326357098
496	0.3261462242
497	0.3258970286
498	0.325768538
499	0.3255872105
500	0.3255522583
501	0.3254885212
502	0.3253738176
503	0.3252539187
504	0.3251158464
505	0.3249032018
506	0.3247648683
507	0.324601342
508	0.3243325958
509	0.3242002375
510	0.3239952154
511	0.3238471603
512	0.3237593844
513	0.3237574399
514	0.3236588859
515	0.3235612351
516	0.3234957188
517	0.3234750811
518	0.3233804616
519	0.3232181626
520	0.3230975417
521	0.3229860178
522	0.3228041288
523	0.322407232
524	0.3221975921
525	0.3219868555
526	0.32186536
527	0.3216608759
528	0.3214651894
529	0.3210791086
530	0.3209848922
531	0.3208704566
532	0.3207737024
533	0.3205969808
534	0.3205570442
535	0.3204579701
536	0.3202550462
537	0.3199655507
538	0.3198224574
539	0.3195924268
540	0.3194688435
541	0.319177947
542	0.3190162298
543	0.3189551347
544	0.3188789808
545	0.3187740532
546	0.3185457143
547	0.3185350686
548	0.3185331454
549	0.3184580415
550	0.3182557991
551	0.3181692238
552	0.3179446137
553	0.3177988155
554	0.3176434673
555	0.3173751904
556	0.3172806264
557	0.3171775487
558	0.3170351556
559	0.3168876481
560	0.3167548795
561	0.3167503736
562	0.3166422526
563	0.3165557629
564	0.3163115845
565	0.3162796358
566	0.3161425778
567	0.3161341705
568	0.3160922119
569	0.3159680705
570	0.3159548102
571	0.3159349779
572	0.3157443068
573	0.3155229872
574	0.3154695582
575	0.3154241823
576	0.315330183
577	0.3153283512
578	0.315290179
579	0.3152200035
580	0.3150779104
581	0.3148737284
582	0.3148425925
583	0.3147279698
584	0.3144918339
585	0.314296464
586	0.314183731
587	0.314115448
588	0.3139873876
589	0.3138732134
590	0.3138616791
591	0.3138247506
592	0.3136707387
593	0.3134320893
594	0.3133496712
595	0.3132551822
596	0.3130170638
597	0.3128367582
598	0.3127685409
599	0.3127514978
600	0.312481869
601	0.3124818644
602	0.3123327844
603	0.3122105984
604	0.3120999999
605	0.3119052396
606	0.3118668641
607	0.3116316198
608	0.3115466631
609	0.3113761403
610	0.3111880134
611	0.311111693
612	0.3110057601
613	0.3109392817
614	0.3108188648
615	0.3108070831
616	0.3106593272
617	0.3106574502
618	0.3105558042
619	0.3105156163
620	0.3102572841
621	0.3100881289
622	0.3100327604
623	0.3098467052
624	0.3098415729
625	0.3096623423
626	0.3095254773
627	0.3093682019
628	0.3093098994
629	0.3092545399
630	0.3091842315
631	0.308888003
632	0.308685127
633	0.3085740548
634	0.3082986329
635	0.3082956789
636	0.3082877357
637	0.3082398623
638	0.3081342699
639	0.3080079573
640	0.307990458
641	0.3079196721
642	0.3077707557
643	0.3077690091
644	0.3077389885
645	0.3073696626
646	0.3073078734
647	0.3072615799
648	0.3071447307
649	0.3069834777
650	0.3068301658
651	0.306786242
652	0.3067012423
653	0.3065145173
654	0.3064154663
655	0.3063294731
656	0.3063224877
657	0.306270183
658	0.3061202707
659	0.3060246301
660	0.3058066517
661	0.3056812012
662	0.3055564435
663	0.3055562327
664	0.3053814353
665	0.305293825
666	0.3052788303
667	0.3051340679
668	0.3050062789
669	0.3049218222
670	0.3048511211
671	0.3048222287
672	0.3048085055
673	0.3046932682
674	0.3046452413
675	0.3045896701
676	0.3044660064
677	0.3042280312
678	0.3040515249
679	0.3040000027
680	0.303850643
681	0.3036683577
682	0.3036214851
683	0.3032918274
684	0.303091706
685	0.3030901921
686	0.3030015319
687	0.3029981204
688	0.3029400993
689	0.302934323
690	0.3028589413
691	0.3025816652
692	0.3023138976
693	0.3019214475
694	0.301816038
695	0.3017225012
696	0.301514021
697	0.3013971649
698	0.3013200376
699	0.3012001373
700	0.3011108614
701	0.3010412763
702	0.3009493108
703	0.3009378607
704	0.3008458535
705	0.3007320138
706	0.3005471938
707	0.3002830147
708	0.3001186741
709	0.2999508871
710	0.2997558401
711	0.2996640731
712	0.299586536
713	0.2994730551
714	0.2992601079
715	0.2991149343
716	0.2990823621
717	0.2988268282
718	0.2986596218
719	0.2984670083
720	0.2984287608
721	0.2983381683
722	0.2981324802
723	0.2980273938
724	0.2977378446
725	0.2976117902
726	0.2974942479
727	0.2974561043
728	0.2972820133
729	0.2972817496
730	0.2971552822
731	0.2971535481
732	0.2971386868
733	0.2970952664
734	0.2970878242
735	0.2967970912
736	0.2966778112
737	0.2965372459
738	0.2962177415
739	0.2961035659
740	0.2959944348
741	0.2959573619
742	0.2959561402
743	0.2958837455
744	0.2958622409
745	0.2957933181
746	0.2957300177
747	0.2955097016
748	0.2955085097
749	0.2954097753
750	0.2953237966
751	0.2951765062
752	0.2948181387
753	0.2946340765
754	0.2943473937
755	0.2941604584
756	0.2938813179
757	0.2937710245
758	0.2935285362
759	0.2934987828
760	0.2934551431
761	0.2933402925
762	0.2932257455
763	0.2931702061
764	0.2930398232
765	0.2930068466
766	0.2928074221
767	0.2927436039
768	0.2926645132
769	0.2926076053
770	0.292525352
771	0.2923654576
772	0.292294921
773	0.2922477103
774	0.2922045954
775	0.2922045841
776	0.2920941465
777	0.2920857456
778	0.2920056076
779	0.2916811051
780	0.2915802916
781	0.291508973
782	0.291427742
783	0.2913854903
784	0.2912351894
785	0.2910842738
786	0.2910579402
787	0.2909376989
788	0.290519291
789	0.2904899017
790	0.2904501715
791	0.2904315324
792	0.2902801001
793	0.2900931378
794	0.2900845087
795	0.2900833803
796	0.2900806605
797	0.2900679428
798	0.2898269812
799	0.2896596055
800	0.2895288004
801	0.2895248223
802	0.2894688775
803	0.2892708296
804	0.2892315726
805	0.2892057724
806	0.2891084055
807	0.2889491333
808	0.2889465093
809	0.2886358289
810	0.288550216
811	0.2884387936
812	0.2881471694
813	0.2880086719
814	0.2879567791
815	0.287890106
816	0.2877457864
817	0.2876267719
818	0.2874157782
819	0.2873902647
820	0.2873318577
821	0.2872150615
822	0.2871289356
823	0.2871263764
824	0.2869280004
825	0.2869270448
826	0.2868494349
827	0.2867023166
828	0.2865123972
829	0.2864586097
830	0.286381471
831	0.2863805706
832	0.2863376691
833	0.2861751835
834	0.2859938427
835	0.2858026282
836	0.2855984992
837	0.2854892355
838	0.2851851715
839	0.2851027166
840	0.2850142809
841	0.2846783526
842	0.2844744533
843	0.2843102281
844	0.2842606829
845	0.2842168218
846	0.2840455201
847	0.2839148956
848	0.283902486
849	0.2838251271
850	0.2835775605
851	0.2834493753
852	0.2834428503
853	0.2832973786
854	0.2831315544
855	0.2831306946
856	0.2830332921
857	0.2827295143
858	0.2827293577
859	0.2825574906
860	0.2825367653
861	0.2824249133
862	0.2824145624
863	0.2823925109
864	0.2820166887
865	0.2819545798
866	0.281894467
867	0.2816129382
868	0.2815505801
869	0.2814172604
870	0.2812827269
871	0.2812064701
872	0.2810941371
873	0.2810311914
874	0.2809196887
875	0.2807708964
876	0.2807509491
877	0.2807405414
878	0.2804642791
879	0.28045175
880	0.2803838591
881	0.2800928369
882	0.2800159302
883	0.2798489225
884	0.2797869269
885	0.2797415843
886	0.2795975742
887	0.2795454596
888	0.2794487531
889	0.279340184
890	0.2792553354
891	0.2792425674
892	0.2790519239
893	0.2789945077
894	0.2788961589
895	0.2787975275
896	0.2787378777
897	0.27870496
898	0.2785296665
899	0.2785068398
900	0.2784165953
901	0.2782455361
902	0.2782053451
903	0.2781407093
904	0.2781015796
905	0.2780203434
906	0.2776320088
907	0.2774707118
908	0.277399684
909	0.277373435
910	0.2772906448
911	0.2772216307
912	0.2771257419
913	0.2770749781
914	0.2767933293
915	0.2767575448
916	0.2766005291
917	0.276490656
918	0.2764500779
919	0.276446796
920	0.2764357657
921	0.2763940202
922	0.2763596431
923	0.2762427719
924	0.2761167592
925	0.2760080562
926	0.2759824961
927	0.2758178439
928	0.2756109866
929	0.2755340611
930	0.275399994
931	0.2752205296
932	0.2751711967
933	0.2749810187
934	0.2749736779
935	0.274851662
936	0.2747933021
937	0.2745991905
938	0.2744440206
939	0.2741853644
940	0.2740787896
941	0.274040696
942	0.2739064137
943	0.2738955194
944	0.2737773262
945	0.2737523892
946	0.2735812429
947	0.2735221288
948	0.2734722706
949	0.273396055
950	0.2731975434
951	0.2731303959
952	0.2730337238
953	0.272900292
954	0.272836913
955	0.2727960483
956	0.272677616
957	0.2726505069
958	0.2725879432
959	0.27250991
960	0.2724186649
961	0.2723297294
962	0.2722744559
963	0.2722389822
964	0.2721113621
965	0.2718662006
966	0.2717966983
967	0.2717671973
968	0.2716229169
969	0.2715505235
970	0.271468545
971	0.2712913222
972	0.2711898203
973	0.2711554751
974	0.2709729985
975	0.2708565625
976	0.2707801879
977	0.2705650344
978	0.270400005
979	0.2703622065
980	0.2700658673
981	0.2698518503
982	0.2696324082
983	0.2695326004
984	0.2695099373
985	0.2694817319
986	0.2693043667
987	0.2692456889
988	0.2689436
989	0.2687108257
990	0.2686199627
991	0.2685716101
992	0.2685270308
993	0.2684115838
994	0.2683895964
995	0.268320687
996	0.2682886105
997	0.2680610756
998	0.2679054039
999	0.267853233
